created_date,latitude,longitude
"2018-06-28 08:08:34",20.61482096,-100.35598126
"2018-06-29 08:34:17",20.61490716,-100.35556428
"2018-06-29 08:34:17",20.61476581,-100.35605259
"2018-06-29 08:34:17",20.61479020,-100.35607598
"2018-07-01 00:11:52",20.61483475,-100.35596651
"2018-07-01 00:35:09",20.61485197,-100.35596014
"2018-07-04 01:10:37",20.61486689,-100.35598017
"2018-07-04 01:10:37",20.61481937,-100.35602183
"2018-07-06 21:45:17",19.36719144,-99.25944908
"2018-07-10 11:21:25",20.61481405,-100.35602435
"2018-07-15 11:50:19",20.61475432,-100.35608009
"2018-07-20 19:21:22",20.61165466,-100.40836874
"2018-07-20 19:21:22",20.61195816,-100.40861174
"2018-07-20 19:21:22",20.58238497,-100.39640157
"2018-07-20 19:21:22",20.58221779,-100.39684405
"2018-07-20 22:41:42",20.58229851,-100.39672016
"2018-07-20 22:41:42",20.58235827,-100.39663316
"2018-07-20 22:51:29",20.61486484,-100.35611143
"2018-07-21 23:02:49",20.66760323,-100.42576740
"2018-07-21 23:02:49",20.66756455,-100.42574116
"2018-07-21 23:02:49",20.66759464,-100.42578299
"2018-07-21 23:02:49",20.66761065,-100.42573672
"2018-07-23 15:00:54",20.66764669,-100.42577259
"2018-07-23 15:00:54",20.66762959,-100.42577066
"2018-07-23 15:00:54",20.66762766,-100.42572507
"2018-07-23 15:00:54",20.66762351,-100.42571166
"2018-07-23 15:00:54",20.66762758,-100.42577050
"2018-07-24 17:30:36",20.61483307,-100.35591220
"2018-07-24 17:30:36",20.61476878,-100.35600674
"2018-07-24 17:30:36",20.61491069,-100.35592678
"2018-07-25 21:37:42",20.61473266,-100.35603809
"2018-07-25 23:49:11",20.61499026,-100.35620607
"2018-07-25 23:49:11",20.61482364,-100.35609182
"2018-07-26 00:31:03",20.61480357,-100.35610816
"2018-07-26 14:04:30",20.61471686,-100.35562134
"2018-07-26 16:27:12",20.61476862,-100.35601412
"2018-07-26 16:27:12",20.61450689,-100.35559217
"2018-07-27 16:43:06",20.61171991,-100.40826313
"2018-07-28 18:57:13",20.61476237,-100.35606491
"2018-07-28 18:57:13",20.61483550,-100.35610842
"2018-07-28 18:57:13",20.61507677,-100.35608399
"2018-07-29 12:09:06",20.56201971,-100.35666246
"2018-07-29 12:09:06",20.56198752,-100.35661016
